[Sat Aug 06 15:49:29.131467 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2772] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:29.134469 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2771] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:29.341468 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2773] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:29.349468 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2772] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:29.363464 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2774] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:29.366466 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2771] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:29.395469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2773] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.025467 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2780] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.043466 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2781] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.048468 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2780] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.226468 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2781] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.262469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2781] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.267470 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2782] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:31.282464 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2781] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
